iter	RMSE
0	14.15420827
1	14.02183262
2	13.89219187
3	13.76241001
4	13.63211911
5	13.50403261
6	13.37645003
7	13.25176814
8	13.12874927
9	13.00747548
10	12.8849391
11	12.76383245
12	12.6457211
13	12.52891032
14	12.41330657
15	12.29763285
16	12.18387732
17	12.07047578
18	11.95787346
19	11.84603874
20	11.7359019
21	11.62728618
22	11.51941215
23	11.411957
24	11.3070553
25	11.20414891
26	11.1002508
27	10.99856737
28	10.89881069
29	10.79866309
30	10.69987625
31	10.60141611
32	10.50292262
33	10.40603365
34	10.31160595
35	10.21805535
36	10.12554662
37	10.03286541
38	9.941932979
39	9.85177601
40	9.762303759
41	9.67452988
42	9.587704434
43	9.501448811
44	9.415637886
45	9.33043714
46	9.247186579
47	9.164030643
48	9.083087968
49	9.001967466
50	8.921724525
51	8.84167437
52	8.762905126
53	8.684862512
54	8.60707806
55	8.531020718
56	8.455332994
57	8.380231736
58	8.306233554
59	8.23272787
60	8.160684279
61	8.0889073
62	8.018126252
63	7.949249898
64	7.880711134
65	7.812682633
66	7.744410136
67	7.678961651
68	7.613944441
69	7.548415617
70	7.483877345
71	7.420556858
72	7.356899482
73	7.293980996
74	7.232893398
75	7.171548909
76	7.111215974
77	7.051173449
78	6.991381888
79	6.932092623
80	6.87377886
81	6.816915261
82	6.760743116
83	6.70483385
84	6.650066748
85	6.594547858
86	6.54016047
87	6.48665975
88	6.433026505
89	6.380445107
90	6.328693696
91	6.278460339
92	6.228593106
93	6.178309007
94	6.129115788
95	6.081007629
96	6.032302196
97	5.984064509
98	5.936850732
99	5.891164521
100	5.844888662
101	5.798670702
102	5.752750693
103	5.708395734
104	5.664591719
105	5.621490613
106	5.576088547
107	5.5334467
108	5.49095555
109	5.449674557
110	5.40802799
111	5.367661952
112	5.32687281
113	5.286917393
114	5.247366613
115	5.208772697
116	5.170738494
117	5.132721928
118	5.094960445
119	5.058526939
120	5.022710793
121	4.987191148
122	4.951971406
123	4.917302126
124	4.881767281
125	4.847473084
126	4.813177221
127	4.778039916
128	4.743775045
129	4.711085349
130	4.679022633
131	4.646640257
132	4.615142468
133	4.581290802
134	4.550338102
135	4.52060998
136	4.490245025
137	4.459921079
138	4.431260576
139	4.401868205
140	4.373413258
141	4.345151831
142	4.315348764
143	4.28874496
144	4.26107604
145	4.234093648
146	4.207437706
147	4.181198301
148	4.155823328
149	4.129866801
150	4.104615066
151	4.079073348
152	4.054254324
153	4.028016431
154	4.003485522
155	3.979771589
156	3.956923739
157	3.933182717
158	3.910326152
159	3.886993305
160	3.864969282
161	3.843263921
162	3.822289393
163	3.801550545
164	3.78067917
165	3.759884323
166	3.739034619
167	3.718068866
168	3.697696824
169	3.678443693
170	3.65935267
171	3.640180853
172	3.621455697
173	3.602979295
174	3.584477198
175	3.563881807
176	3.545217506
177	3.52734361
178	3.508126685
179	3.491370089
180	3.474582299
181	3.458545162
182	3.43989291
183	3.423763325
184	3.407447704
185	3.389896317
186	3.37314482
187	3.355940609
188	3.338797253
189	3.323851086
190	3.307700692
191	3.291549998
192	3.277217778
193	3.262859635
194	3.2487336
195	3.232982523
196	3.217770986
197	3.204412241
198	3.191393985
199	3.178185753
200	3.165233848
201	3.153018706
202	3.138639899
203	3.126602976
204	3.114947818
205	3.102818037
206	3.09005487
207	3.078897923
208	3.067726904
209	3.055041778
210	3.043759631
211	3.031321303
212	3.02136746
213	3.011200231
214	3.00105816
215	2.988660138
216	2.976774173
217	2.967146878
218	2.957896269
219	2.946861496
220	2.937680248
221	2.928485873
222	2.919273872
223	2.909836694
224	2.8992037
225	2.890791976
226	2.882333133
227	2.872307341
228	2.863923643
229	2.855826413
230	2.847836019
231	2.839933447
232	2.831957839
233	2.82255784
234	2.813406131
235	2.803841037
236	2.794437807
237	2.786956328
238	2.779959131
239	2.772756685
240	2.765730646
241	2.759124561
242	2.75080418
243	2.744515633
244	2.738149515
245	2.731750966
246	2.723681737
247	2.717318373
248	2.709933511
249	2.703939217
250	2.696591292
251	2.690306428
252	2.684395237
253	2.677145577
254	2.671739336
255	2.665957321
256	2.660517726
257	2.655332277
258	2.650065129
259	2.644013089
260	2.637130583
261	2.630495307
262	2.624236519
263	2.619131541
264	2.614112001
265	2.607738897
266	2.602950733
267	2.598330885
268	2.59368576
269	2.58900902
270	2.583233778
271	2.577835696
272	2.572064882
273	2.567603912
274	2.562943695
275	2.55869255
276	2.55498146
277	2.55082745
278	2.5467754
279	2.541546313
280	2.537289191
281	2.533258947
282	2.529866301
283	2.524725887
284	2.521221079
285	2.516440729
286	2.511826481
287	2.508320169
288	2.504996619
289	2.501446085
290	2.496987802
291	2.49233463
292	2.488021691
293	2.483529853
294	2.479515184
295	2.475321044
296	2.47172857
297	2.468703532
298	2.465448389
299	2.461293297
300	2.45845195
301	2.455587713
302	2.451521395
303	2.448831337
304	2.446148467
305	2.443454582
306	2.439657536
307	2.43707895
308	2.434308532
309	2.431671244
310	2.429119989
311	2.426492251
312	2.423965842
313	2.421335818
314	2.419080809
315	2.416731018
316	2.413344499
317	2.411131302
318	2.407769352
319	2.405405916
320	2.403102346
321	2.400619439
322	2.398710796
323	2.39645462
324	2.394474632
325	2.392322706
326	2.390204665
327	2.388280077
328	2.386165077
329	2.384399543
330	2.382610988
331	2.380621458
332	2.378641516
333	2.376263783
334	2.374803704
335	2.372512885
336	2.369861366
337	2.368069193
338	2.366685754
339	2.36497044
340	2.363005144
341	2.360479434
342	2.358693666
343	2.356124847
344	2.353698894
345	2.352115019
346	2.350574603
347	2.349024307
348	2.347264799
349	2.344909551
350	2.342431119
351	2.340834123
352	2.338385509
353	2.335848316
354	2.334424259
355	2.333051922
356	2.330815816
357	2.329306971
358	2.328202195
359	2.325952078
360	2.324095061
361	2.322856904
362	2.321691322
363	2.320485832
364	2.319262876
365	2.317817629
366	2.31648637
367	2.315442686
368	2.313384778
369	2.312298249
370	2.31110328
371	2.310160799
372	2.308038021
373	2.306876152
374	2.30495452
375	2.303551064
376	2.302467671
377	2.301479123
378	2.299509691
379	2.29861003
380	2.2975503
381	2.295752868
382	2.294507981
383	2.293189594
384	2.292140156
385	2.291233171
386	2.290503456
387	2.289717953
388	2.288685068
389	2.286830931
390	2.286100803
391	2.284575323
392	2.283756855
393	2.281970331
394	2.281315211
395	2.280358119
396	2.279490152
397	2.277654222
398	2.276736198
399	2.27518982
400	2.273609355
401	2.272651342
402	2.27159867
403	2.270837241
404	2.269094674
405	2.267549977
406	2.266771975
407	2.266137014
408	2.264587915
409	2.263718322
410	2.263000763
411	2.262164314
412	2.261505743
413	2.260735045
414	2.260183731
415	2.258641555
416	2.25796665
417	2.257232504
418	2.256338101
419	2.254951524
420	2.254217056
421	2.252757464
422	2.251970155
423	2.251418014
424	2.25063414
425	2.249782341
426	2.248778844
427	2.248019029
428	2.246657751
429	2.245383761
430	2.244642477
431	2.243430561
432	2.242720813
433	2.242121379
434	2.241298797
435	2.24042929
436	2.23903502
437	2.238352878
438	2.237626972
439	2.236381722
440	2.235280085
441	2.234664733
442	2.234100012
443	2.233422975
444	2.232870771
445	2.231542227
446	2.230170115
447	2.229620807
448	2.229043413
449	2.228526507
450	2.228062182
451	2.227406854
452	2.226912511
453	2.226538734
454	2.225605052
455	2.224528803
456	2.223544257
457	2.222986182
458	2.222298907
459	2.221858797
460	2.221282909
461	2.220340555
462	2.219718188
463	2.218520716
464	2.217969158
465	2.217476482
466	2.216940213
467	2.216193778
468	2.214915002
469	2.214144641
470	2.213435452
471	2.212983444
472	2.212140352
473	2.211068014
474	2.210506839
475	2.210141232
476	2.209146979
477	2.208749858
478	2.208471873
479	2.207346537
480	2.206945234
481	2.206200879
482	2.20558881
483	2.204942691
484	2.204471427
485	2.203836614
486	2.202706725
487	2.202327106
488	2.201985376
489	2.201526819
490	2.201187045
491	2.200766774
492	2.200145671
493	2.199746458
494	2.199456225
495	2.198995172
496	2.198218124
497	2.197739697
498	2.19667985
499	2.19637442
