iter	Passed	Remaining
0	10	5195
1	20	5032
2	32	5330
3	48	5995
4	59	5899
5	82	6821
6	103	7314
7	126	7792
8	143	7853
9	155	7614
10	166	7394
11	198	8074
12	213	8002
13	226	7867
14	239	7730
15	252	7625
16	262	7468
17	273	7336
18	285	7226
19	295	7101
20	306	6996
21	316	6883
22	327	6801
23	338	6716
24	350	6655
25	372	6785
26	405	7097
27	439	7404
28	453	7366
29	466	7301
30	477	7226
31	488	7150
32	498	7052
33	508	6969
34	518	6884
35	533	6881
36	557	6977
37	582	7077
38	605	7161
39	631	7257
40	658	7370
41	685	7471
42	713	7585
43	734	7612
44	761	7694
45	783	7732
46	804	7751
47	827	7789
48	848	7809
49	861	7751
50	877	7726
51	887	7647
52	898	7575
53	910	7519
54	922	7461
55	942	7474
56	961	7475
57	988	7531
58	1011	7563
59	1037	7610
60	1052	7571
61	1074	7593
62	1099	7625
63	1111	7571
64	1123	7519
65	1135	7464
66	1147	7415
67	1172	7451
68	1195	7469
69	1218	7486
70	1230	7436
71	1242	7386
72	1253	7331
73	1264	7279
74	1275	7226
75	1287	7180
76	1298	7131
77	1308	7080
78	1320	7037
79	1331	6990
80	1342	6945
81	1358	6923
82	1384	6954
83	1403	6950
84	1413	6900
85	1424	6859
86	1436	6820
87	1447	6778
88	1458	6736
89	1469	6694
90	1480	6654
91	1491	6616
92	1502	6577
93	1514	6541
94	1526	6506
95	1537	6470
96	1551	6446
97	1562	6411
98	1585	6421
99	1602	6410
100	1612	6371
101	1623	6335
102	1634	6300
103	1645	6266
104	1660	6247
105	1672	6217
106	1683	6183
107	1694	6148
108	1704	6115
109	1716	6085
110	1726	6049
111	1738	6022
112	1748	5987
113	1761	5965
114	1773	5937
115	1785	5909
116	1797	5882
117	1808	5853
118	1823	5839
119	1849	5858
120	1865	5842
121	1876	5813
122	1889	5792
123	1901	5765
124	1911	5735
125	1923	5709
126	1935	5683
127	1947	5658
128	1958	5633
129	1972	5612
130	1999	5631
131	2018	5627
132	2044	5641
133	2073	5663
134	2097	5671
135	2110	5648
136	2121	5622
137	2133	5597
138	2144	5570
139	2155	5543
140	2165	5514
141	2177	5490
142	2188	5464
143	2198	5435
144	2208	5406
145	2218	5380
146	2228	5352
147	2239	5326
148	2249	5299
149	2260	5275
150	2271	5249
151	2284	5230
152	2296	5208
153	2310	5190
154	2322	5169
155	2340	5161
156	2360	5156
157	2378	5148
158	2396	5140
159	2410	5121
160	2423	5103
161	2438	5088
162	2458	5081
163	2470	5061
164	2486	5048
165	2506	5043
166	2527	5040
167	2541	5022
168	2558	5011
169	2570	4990
170	2582	4969
171	2595	4949
172	2624	4960
173	2653	4970
174	2678	4975
175	2708	4985
176	2734	4989
177	2761	4994
178	2778	4982
179	2795	4970
180	2813	4957
181	2829	4944
182	2843	4925
183	2855	4904
184	2867	4882
185	2879	4861
186	2905	4862
187	2931	4864
188	2944	4845
189	2956	4823
190	2967	4801
191	2979	4780
192	2991	4757
193	3002	4735
194	3013	4712
195	3024	4691
196	3035	4668
197	3046	4646
198	3057	4624
199	3068	4603
200	3080	4581
201	3092	4561
202	3103	4541
203	3115	4519
204	3125	4497
205	3137	4478
206	3149	4457
207	3160	4436
208	3171	4416
209	3183	4396
210	3195	4376
211	3207	4357
212	3219	4337
213	3240	4330
214	3263	4325
215	3276	4308
216	3288	4288
217	3299	4268
218	3315	4253
219	3343	4255
220	3359	4241
221	3371	4222
222	3383	4203
223	3395	4183
224	3407	4164
225	3418	4144
226	3429	4124
227	3441	4105
228	3452	4086
229	3464	4066
230	3475	4047
231	3487	4028
232	3509	4021
233	3536	4020
234	3551	4005
235	3565	3988
236	3583	3976
237	3607	3971
238	3632	3967
239	3645	3949
240	3657	3930
241	3669	3911
242	3680	3892
243	3692	3873
244	3703	3854
245	3714	3835
246	3726	3817
247	3738	3798
248	3750	3780
249	3762	3762
250	3774	3744
251	3789	3728
252	3799	3709
253	3812	3692
254	3823	3673
255	3834	3654
256	3844	3635
257	3855	3616
258	3867	3598
259	3880	3581
260	3890	3562
261	3902	3545
262	3914	3527
263	3925	3509
264	3937	3491
265	3948	3473
266	3960	3456
267	3971	3437
268	3999	3434
269	4024	3428
270	4037	3411
271	4051	3396
272	4075	3389
273	4089	3372
274	4106	3359
275	4119	3343
276	4129	3324
277	4141	3306
278	4162	3296
279	4187	3290
280	4201	3274
281	4212	3256
282	4224	3239
283	4236	3221
284	4247	3204
285	4261	3188
286	4281	3177
287	4293	3160
288	4305	3143
289	4317	3126
290	4329	3109
291	4341	3092
292	4354	3076
293	4383	3071
294	4413	3066
295	4435	3057
296	4447	3039
297	4458	3022
298	4470	3005
299	4483	2988
300	4494	2971
301	4506	2954
302	4517	2937
303	4528	2919
304	4539	2902
305	4551	2885
306	4571	2874
307	4589	2861
308	4602	2844
309	4613	2827
310	4624	2810
311	4636	2793
312	4654	2780
313	4669	2766
314	4682	2749
315	4694	2733
316	4705	2716
317	4723	2703
318	4742	2691
319	4761	2678
320	4772	2661
321	4784	2644
322	4795	2627
323	4819	2618
324	4844	2608
325	4858	2593
326	4872	2577
327	4897	2568
328	4924	2559
329	4944	2547
330	4957	2531
331	4969	2514
332	4980	2497
333	4992	2481
334	5002	2463
335	5028	2454
336	5054	2444
337	5077	2433
338	5104	2424
339	5118	2408
340	5130	2392
341	5143	2376
342	5154	2359
343	5166	2343
344	5192	2332
345	5214	2320
346	5226	2304
347	5237	2287
348	5249	2271
349	5260	2254
350	5272	2238
351	5284	2221
352	5296	2205
353	5309	2189
354	5320	2173
355	5331	2156
356	5344	2140
357	5354	2123
358	5365	2107
359	5388	2095
360	5417	2086
361	5433	2071
362	5456	2059
363	5468	2043
364	5479	2026
365	5490	2010
366	5502	1994
367	5513	1977
368	5525	1961
369	5536	1945
370	5547	1929
371	5559	1912
372	5571	1896
373	5590	1883
374	5619	1873
375	5634	1858
376	5645	1841
377	5656	1825
378	5668	1809
379	5680	1793
380	5691	1777
381	5703	1761
382	5715	1745
383	5726	1730
384	5738	1714
385	5749	1697
386	5759	1681
387	5770	1665
388	5781	1649
389	5793	1634
390	5804	1618
391	5816	1602
392	5827	1586
393	5839	1571
394	5849	1555
395	5861	1539
396	5872	1523
397	5885	1508
398	5897	1492
399	5909	1477
400	5921	1461
401	5932	1446
402	5943	1430
403	5954	1414
404	5966	1399
405	5979	1384
406	5990	1368
407	6001	1353
408	6026	1340
409	6051	1328
410	6065	1313
411	6089	1300
412	6113	1287
413	6127	1272
414	6138	1257
415	6149	1241
416	6160	1226
417	6171	1210
418	6183	1195
419	6194	1179
420	6206	1164
421	6218	1149
422	6229	1134
423	6241	1118
424	6252	1103
425	6263	1088
426	6275	1072
427	6287	1057
428	6299	1042
429	6311	1027
430	6322	1012
431	6334	997
432	6346	981
433	6357	966
434	6369	951
435	6380	936
436	6393	921
437	6405	906
438	6416	891
439	6427	876
440	6440	861
441	6450	846
442	6462	831
443	6488	818
444	6513	805
445	6527	790
446	6538	775
447	6549	760
448	6560	745
449	6572	730
450	6583	715
451	6594	700
452	6606	685
453	6617	670
454	6629	655
455	6641	640
456	6653	625
457	6664	611
458	6676	596
459	6694	582
460	6720	568
461	6739	554
462	6751	539
463	6762	524
464	6774	509
465	6785	495
466	6796	480
467	6809	465
468	6835	451
469	6864	438
470	6891	424
471	6919	410
472	6934	395
473	6945	380
474	6957	366
475	6968	351
476	6995	337
477	7021	323
478	7044	308
479	7060	294
480	7071	279
481	7082	264
482	7094	249
483	7106	234
484	7127	220
485	7145	205
486	7157	191
487	7168	176
488	7179	161
489	7190	146
490	7201	131
491	7212	117
492	7224	102
493	7236	87
494	7246	73
495	7262	58
496	7274	43
497	7292	29
498	7307	14
499	7318	0
