iter	RMSE
0	4.33988528
1	4.28413991
2	4.233244841
3	4.181717299
4	4.131826186
5	4.081848586
6	4.033928251
7	3.985432521
8	3.936097992
9	3.89069344
10	3.844467237
11	3.801288736
12	3.759333469
13	3.718127852
14	3.678311141
15	3.636318162
16	3.595397903
17	3.559222334
18	3.520830579
19	3.483292002
20	3.447708005
21	3.412554683
22	3.378024813
23	3.342941178
24	3.312954952
25	3.28151496
26	3.250558812
27	3.22180102
28	3.192627114
29	3.163751414
30	3.136860148
31	3.108888202
32	3.082518435
33	3.05592254
34	3.032582881
35	3.00837751
36	2.985924535
37	2.964306275
38	2.940623409
39	2.92001049
40	2.899533531
41	2.879474962
42	2.858830829
43	2.841382027
44	2.822293472
45	2.803513529
46	2.784593514
47	2.767064452
48	2.748776451
49	2.73083981
50	2.713129644
51	2.695835519
52	2.679445837
53	2.663447658
54	2.649485517
55	2.633857715
56	2.619938831
57	2.607108516
58	2.593908343
59	2.580837215
60	2.567434561
61	2.555960171
62	2.544157029
63	2.532015847
64	2.521832253
65	2.510277252
66	2.499377296
67	2.488714426
68	2.478854169
69	2.46888492
70	2.457983172
71	2.447607878
72	2.438321048
73	2.430010432
74	2.421398926
75	2.412599059
76	2.40313139
77	2.394265819
78	2.386321963
79	2.378396
80	2.369864651
81	2.363005549
82	2.355813979
83	2.348263737
84	2.341637997
85	2.334454376
86	2.327107252
87	2.320035871
88	2.314336227
89	2.308343727
90	2.302002047
91	2.296389079
92	2.290065969
93	2.283962811
94	2.277762748
95	2.27253946
96	2.266948616
97	2.262592426
98	2.257032842
99	2.251545573
100	2.24670623
101	2.241795663
102	2.237674527
103	2.232799221
104	2.227677815
105	2.222795957
106	2.218954494
107	2.214702548
108	2.210603145
109	2.205796733
110	2.202479353
111	2.198221005
112	2.194093656
113	2.190596121
114	2.186968286
115	2.184201385
116	2.180644411
117	2.177308633
118	2.174368604
119	2.170467042
120	2.1671955
121	2.163508585
122	2.160623584
123	2.157138191
124	2.154812941
125	2.151540956
126	2.148373798
127	2.145531356
128	2.142371537
129	2.139390871
130	2.136669296
131	2.133688501
132	2.130643081
133	2.128218815
134	2.125923586
135	2.123316055
136	2.120700063
137	2.11838565
138	2.115763469
139	2.113107132
140	2.110778245
141	2.108845662
142	2.106036168
143	2.103843891
144	2.101412517
145	2.099083675
146	2.096578185
147	2.094683306
148	2.092433435
149	2.089890984
150	2.087744138
151	2.086060669
152	2.084387882
153	2.082434773
154	2.080274456
155	2.078362196
156	2.076919163
157	2.074695335
158	2.073418358
159	2.072225944
160	2.07001046
161	2.067605612
162	2.065588307
163	2.064000976
164	2.061786126
165	2.059935941
166	2.058252588
167	2.057278138
168	2.055962145
169	2.054167149
170	2.052521631
171	2.051075675
172	2.049774589
173	2.048292718
174	2.046415022
175	2.044798899
176	2.042790623
177	2.041496046
178	2.04006208
179	2.039001738
180	2.038053335
181	2.036670562
182	2.035299609
183	2.034572803
184	2.032543294
185	2.031159628
186	2.028933125
187	2.027786624
188	2.026199559
189	2.024858284
190	2.023401562
191	2.022154965
192	2.020304903
193	2.018883423
194	2.017534037
195	2.016561064
196	2.015564769
197	2.013898578
198	2.012625656
199	2.011986323
200	2.010391668
201	2.009106122
202	2.008112708
203	2.006393382
204	2.00510235
205	2.003780379
206	2.00250334
207	2.001399074
208	2.00026176
209	1.999251474
210	1.998175778
211	1.99711493
212	1.996261381
213	1.995406546
214	1.994124333
215	1.992689644
216	1.991657726
217	1.99069025
218	1.989500092
219	1.987951904
220	1.986916093
221	1.985094995
222	1.984205304
223	1.983009177
224	1.982015831
225	1.980789165
226	1.980105073
227	1.979583694
228	1.978779281
229	1.977537483
230	1.977060259
231	1.976122159
232	1.975382684
233	1.97450059
234	1.97379087
235	1.973347368
236	1.972616148
237	1.971662758
238	1.970065036
239	1.969214155
240	1.968462862
241	1.967826202
242	1.967229677
243	1.966134028
244	1.965825297
245	1.96468172
246	1.963794687
247	1.962828952
248	1.961715375
249	1.960385708
250	1.959528015
251	1.958751977
252	1.957612145
253	1.956173617
254	1.955312177
255	1.954510719
256	1.954020373
257	1.953261001
258	1.952503521
259	1.95167683
260	1.950191838
261	1.949078571
262	1.948230761
263	1.947382871
264	1.94653836
265	1.945866199
266	1.94480424
267	1.943741639
268	1.942661852
269	1.941601899
270	1.940449526
271	1.93944783
272	1.938688302
273	1.937860187
274	1.936791433
275	1.935947083
276	1.935439665
277	1.934809731
278	1.934406643
279	1.933814777
280	1.933230718
281	1.932470024
282	1.931580198
283	1.930746378
284	1.930248517
285	1.929361431
286	1.928578572
287	1.92791935
288	1.927155048
289	1.926731371
290	1.925578807
291	1.924251214
292	1.923486747
293	1.92298188
294	1.922488098
295	1.921715408
296	1.921230049
297	1.920535158
298	1.920004813
299	1.919023509
300	1.918344466
301	1.917877117
302	1.916155806
303	1.915581369
304	1.915252813
305	1.914755227
306	1.914282731
307	1.91363231
308	1.913040788
309	1.912346645
310	1.911674699
311	1.911347311
312	1.910919742
313	1.910374025
314	1.909653729
315	1.909160193
316	1.908502212
317	1.90744662
318	1.907014616
319	1.906137006
