iter	Passed	Remaining
0	60	115320
1	107	102114
2	144	91337
3	176	83642
4	208	78950
5	239	75720
6	273	73953
7	305	72155
8	337	70845
9	369	69744
10	401	68918
11	433	68137
12	465	67556
13	497	67006
14	533	66996
15	568	66966
16	601	66597
17	633	66279
18	667	66108
19	699	65747
20	733	65621
21	767	65490
22	803	65592
23	845	66123
24	891	66870
25	932	67243
26	971	67368
27	1008	67440
28	1046	67525
29	1086	67738
30	1120	67568
31	1152	67283
32	1184	67010
33	1217	66820
34	1249	66603
35	1282	66398
36	1314	66200
37	1347	66024
38	1380	65868
39	1412	65668
40	1445	65526
41	1477	65354
42	1510	65217
43	1542	65064
44	1576	64971
45	1608	64844
46	1641	64697
47	1674	64616
48	1707	64514
49	1739	64374
50	1772	64269
51	1805	64162
52	1837	64042
53	1871	63980
54	1903	63864
55	1935	63722
56	1965	63558
57	1997	63439
58	2030	63355
59	2062	63255
60	2094	63142
61	2126	63026
62	2158	62941
63	2190	62834
64	2221	62705
65	2252	62582
66	2284	62509
67	2316	62404
68	2348	62311
69	2381	62254
70	2414	62190
71	2446	62123
72	2478	62027
73	2511	61964
74	2542	61871
75	2575	61803
76	2607	61737
77	2640	61690
78	2673	61625
79	2705	61539
80	2736	61445
81	2767	61358
82	2798	61266
83	2830	61201
84	2864	61162
85	2895	61076
86	2928	61033
87	2962	60997
88	2994	60930
89	3027	60878
90	3059	60827
91	3092	60774
92	3123	60698
93	3154	60612
94	3187	60566
95	3220	60520
96	3252	60459
97	3284	60396
98	3316	60326
99	3349	60282
100	3381	60222
101	3413	60162
102	3444	60095
103	3477	60049
104	3509	59998
105	3541	59936
106	3572	59863
107	3605	59817
108	3638	59784
109	3670	59735
110	3702	59676
111	3737	59660
112	3769	59604
113	3801	59549
114	3832	59486
115	3864	59429
116	3896	59383
117	3929	59338
118	3960	59271
119	3992	59220
120	4023	59151
121	4054	59092
122	4087	59049
123	4119	59000
124	4151	58957
125	4184	58920
126	4218	58889
127	4250	58846
128	4282	58797
129	4315	58755
130	4347	58710
131	4379	58661
132	4412	58618
133	4443	58565
134	4475	58514
135	4506	58456
136	4538	58403
137	4571	58366
138	4602	58312
139	4634	58266
140	4667	58231
141	4698	58170
142	4730	58125
143	4762	58072
144	4794	58032
145	4827	57992
146	4858	57935
147	4889	57878
148	4920	57828
149	4953	57794
150	4985	57746
151	5017	57698
152	5048	57648
153	5080	57598
154	5112	57562
155	5145	57520
156	5175	57460
157	5207	57417
158	5239	57370
159	5271	57325
160	5302	57272
161	5335	57240
162	5367	57199
163	5398	57143
164	5429	57089
165	5461	57047
166	5493	57008
167	5524	56956
168	5557	56920
169	5589	56877
170	5620	56834
171	5652	56786
172	5685	56757
173	5717	56711
174	5749	56670
175	5781	56635
176	5814	56605
177	5847	56567
178	5879	56529
179	5910	56481
180	5941	56427
181	5974	56394
182	6006	56356
183	6037	56303
184	6069	56265
185	6102	56232
186	6134	56192
187	6165	56148
188	6198	56113
189	6231	56084
190	6264	56053
191	6296	56008
192	6328	55973
193	6361	55938
